File Name,WER,Accuracy %
6000318502544_silence.wav.txt,0.11764705882352941,88.24
6000318812421-hcat142-out_silence_L30S.wav.txt,0.203125,79.69
6000319323502_short.wav.txt,0.11711711711711711,88.29
6000320013698_silence.wav.txt,0.10891089108910891,89.11
6000320402784_short.wav.txt,0.1523809523809524,84.76
6000320822893_silence.wav.txt,0.1111111111111111,88.89
6000320848157_silence.wav.txt,0.22857142857142856,77.14
6000320852373_silence.wav.txt,0.06818181818181818,93.18
6000321441684_short.wav.txt,0.1511627906976744,84.88
6000321454095_silence.wav.txt,0.1590909090909091,84.09
6000321560696_silence.wav.txt,0.0958904109589041,90.41
6000321562232-outSF30.wav.txt,0.2830188679245283,71.7
6000321562636_short.wav.txt,0.11764705882352941,88.24
6000321563269-outSF30.wav.txt,0.4888888888888889,51.11
6000321571842-outSF30.wav.txt,0.2692307692307692,73.08
6000321603187-outSF30.wav.txt,0.2692307692307692,73.08
6000321610572_short.wav.txt,0.13402061855670103,86.6
6000321617549_short.wav.txt,0.13043478260869565,86.96
6000321659694-outSF30.wav.txt,0.13636363636363635,86.36
6000321676903_silence.wav.txt,0.1111111111111111,88.89
6000321679371-outSF30.wav.txt,0.1702127659574468,82.98
6000321684945-outSF30.wav.txt,0.5294117647058824,47.06
6000321711892-outSF30.wav.txt,0.15217391304347827,84.78
6000321713428-outSF30.wav.txt,0.19444444444444445,80.56
6000321727473_silence_L90S.wav.txt,0.07236842105263158,92.76
6000321732593-outSF30.wav.txt,0.2564102564102564,74.36
6000321871093-outSF30.wav.txt,0.2765957446808511,72.34
6000321871735-outSF30.wav.txt,0.25,75.0
6000321871882-outSF30.wav.txt,0.3939393939393939,60.61
6000321872023-outSF30.wav.txt,0.2222222222222222,77.78
6000321872687-outSF30.wav.txt,0.5833333333333334,41.67
6000321872758-outSF30.wav.txt,0.07142857142857142,92.86
6000321873406-outSF30.wav.txt,0.1276595744680851,87.23
6000321874042-outSF30.wav.txt,0.2714285714285714,72.86
6000321875933-outSF30.wav.txt,0.23404255319148937,76.6
6000321879559-outSF30.wav.txt,0.025974025974025976,97.4
6000321879721-outSF30.wav.txt,0.0967741935483871,90.32
6000321881598-outSF30.wav.txt,0.23809523809523808,76.19
6000321891163-outSF30.wav.txt,0.37037037037037035,62.96
6000321896036_silence.wav.txt,0.04918032786885246,95.08
6000321900465-outSF30.wav.txt,0.11764705882352941,88.24
6000321904864_short.wav.txt,0.09803921568627451,90.2
6000321938053_silence.wav.txt,0.09836065573770492,90.16
6000321966960_silence.wav.txt,0.07547169811320754,92.45
